"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13909","TC003-1: Verify Products Screen rendered correctly - Scrolls smoothly in both directions","General Store - Products Screen","2026-07-27","passed","2026-07-27","","","",""
"","19793","TC002-3: Select last country - Last country is selected and displayed","General Store - Country Selection","2026-07-27","passed","2026-07-27","","","",""
"","6854","TC005-3: On Female Gender, select Let's Shop - User navigated to Products Screen","General Store - Let's Shop Navigation","2026-07-27","passed","2026-07-27","","","",""
"","4686","TC003-2: Fill in with common name - Name is entered and displayed","General Store - Name Textbar Functioning","2026-07-27","passed","2026-07-27","","","",""
"","2531","TC002-2: Select first country - First country is selected and displayed","General Store - Country Selection","2026-07-27","passed","2026-07-27","","","",""
"","1924","TC004-1: Verify Cart Screen unable to be accessed without any items in cart","General Store - Cart Screen","2026-07-29","passed","2026-07-29","","","",""
"","7232","TC003-5: Leave name blank - Validation message appears","General Store - Name Textbar Functioning","2026-07-27","passed","2026-07-27","","","",""
"","6639","TC005-1: On Male Gender, select Let's Shop - User navigated to Products Screen","General Store - Let's Shop Navigation","2026-07-27","passed","2026-07-27","","","",""
"","1145","TC004-2: Select Female from Gender Radio Button - Female is selected, Male deselected","General Store - Gender Radio Button","2026-07-27","passed","2026-07-27","","","",""
"","5290","TC003-4: Fill in with mixed letters, numbers, special symbols - Mixed input is displayed","General Store - Name Textbar Functioning","2026-07-27","passed","2026-07-27","","","",""
"","254446","TC003-2: Verify Item able to be added to cart","General Store - Products Screen","2026-07-27","passed","2026-07-27","","","",""
"","5505","TC002-1: Select Country dropdown - Dropdown opens and shows all countries","General Store - Country Selection","2026-07-27","passed","2026-07-27","","","",""
"","4313","TC002-4: Scroll dropdown and randomly select a country","General Store - Country Selection","2026-07-27","passed","2026-07-27","","","",""
"","7709","TC001: Launch App cold-start from Home - App opens on Landing Screen","General Store - App Launch","2026-07-27","passed","2026-07-27","","","",""
"","2040","TC003-1: Select Name textbar - Textbar is focused and ready for input","General Store - Name Textbar Functioning","2026-07-27","passed","2026-07-27","","","",""
"","5336","TC003-3: Fill in with all small letters - Lowercase text is entered and displayed","General Store - Name Textbar Functioning","2026-07-27","passed","2026-07-27","","","",""
"","14410","""before all"" hook for General Store - Products Screen","","2026-07-27","broken","2026-07-27","","","",""
"","2087","TC005-2: Go back to previous screen using back button - User returns to landing screen","General Store - Let's Shop Navigation","2026-07-27","passed","2026-07-27","","","",""
"","1198","TC004-1: Select Male from Gender Radio Button - Male is selected, Female deselected","General Store - Gender Radio Button","2026-07-27","passed","2026-07-27","","","",""
